step,epoch,phase,top_pairs,layer_sync,sync_ema,peak_tau,is_peak,streak,win_sum,strong_cnt,trigger,strong_ratio,train_loss,val_loss,val_acc,trig_in_epoch,flops,params
1,1,sync_diag,"[{'post': 20, 'pre': 143, 'score': 0.9449339509010315}, {'post': 20, 'pre': 190, 'score': 0.9449339509010315}, {'post': 20, 'pre': 214, 'score': 0.9449339509010315}, {'post': 3, 'pre': 73, 'score': 0.9449339509010315}, {'post': 20, 'pre': 279, 'score': 0.9449339509010315}, {'post': 20, 'pre': 484, 'score': 0.9449339509010315}, {'post': 15, 'pre': 482, 'score': 0.9449339509010315}, {'post': 25, 'pre': 122, 'score': 0.9449339509010315}, {'post': 20, 'pre': 314, 'score': 0.9449339509010315}, {'post': 20, 'pre': 339, 'score': 0.9449339509010315}, {'post': 3, 'pre': 482, 'score': 0.9449339509010315}, {'post': 20, 'pre': 234, 'score': 0.9449339509010315}, {'post': 20, 'pre': 121, 'score': 0.9449339509010315}, {'post': 20, 'pre': 457, 'score': 0.9449339509010315}, {'post': 25, 'pre': 48, 'score': 0.9449339509010315}, {'post': 20, 'pre': 148, 'score': 0.9449339509010315}, {'post': 25, 'pre': 166, 'score': 0.9449339509010315}, {'post': 20, 'pre': 402, 'score': 0.9449339509010315}, {'post': 20, 'pre': 250, 'score': 0.9449339509010315}, {'post': 15, 'pre': 73, 'score': 0.9449339509010315}]",0.13829948008060455,0.013829948008060452,0.08,True,0.0,100268.0,100268.0,True,0.3824920654296875,,,,,,
2,1,sync_diag,"[{'post': 1, 'pre': 43, 'score': 0.9449339509010315}, {'post': 1, 'pre': 90, 'score': 0.9449339509010315}, {'post': 1, 'pre': 498, 'score': 0.9449339509010315}, {'post': 1, 'pre': 18, 'score': 0.9449339509010315}, {'post': 1, 'pre': 67, 'score': 0.9449339509010315}, {'post': 1, 'pre': 308, 'score': 0.9449339509010315}, {'post': 1, 'pre': 465, 'score': 0.9449339509010315}, {'post': 24, 'pre': 79, 'score': 0.9449339509010315}, {'post': 1, 'pre': 218, 'score': 0.9449339509010315}, {'post': 1, 'pre': 427, 'score': 0.9449339509010315}, {'post': 1, 'pre': 136, 'score': 0.9449339509010315}, {'post': 1, 'pre': 390, 'score': 0.9449339509010315}, {'post': 1, 'pre': 339, 'score': 0.9449339509010315}, {'post': 1, 'pre': 271, 'score': 0.9449339509010315}, {'post': 24, 'pre': 1, 'score': 0.9449339509010315}, {'post': 1, 'pre': 482, 'score': 0.9449339509010315}, {'post': 24, 'pre': 102, 'score': 0.9449339509010315}, {'post': 1, 'pre': 464, 'score': 0.9449339509010315}, {'post': 1, 'pre': 395, 'score': 0.9449339509010315}, {'post': 1, 'pre': 372, 'score': 0.9449339509010315}]",0.1366785168647766,0.026114804893732066,0.08,True,0.0,207877.0,107609.0,True,0.4104957580566406,,,,,,
3,1,sync_diag,"[{'post': 1, 'pre': 257, 'score': 0.9449339509010315}, {'post': 1, 'pre': 90, 'score': 0.9449339509010315}, {'post': 11, 'pre': 90, 'score': 0.9449339509010315}, {'post': 1, 'pre': 46, 'score': 0.9449339509010315}, {'post': 1, 'pre': 213, 'score': 0.9449339509010315}, {'post': 11, 'pre': 211, 'score': 0.9449339509010315}, {'post': 1, 'pre': 193, 'score': 0.9449339509010315}, {'post': 11, 'pre': 345, 'score': 0.9449339509010315}, {'post': 1, 'pre': 397, 'score': 0.9449339509010315}, {'post': 1, 'pre': 507, 'score': 0.9449339509010315}, {'post': 11, 'pre': 213, 'score': 0.9449339509010315}, {'post': 1, 'pre': 345, 'score': 0.9449339509010315}, {'post': 11, 'pre': 257, 'score': 0.9449339509010315}, {'post': 11, 'pre': 193, 'score': 0.9449339509010315}, {'post': 11, 'pre': 308, 'score': 0.9449339509010315}, {'post': 1, 'pre': 211, 'score': 0.9449339509010315}, {'post': 11, 'pre': 384, 'score': 0.9449339509010315}, {'post': 11, 'pre': 46, 'score': 0.9449339509010315}, {'post': 1, 'pre': 384, 'score': 0.9449339509010315}, {'post': 1, 'pre': 308, 'score': 0.9449339509010315}]",0.13938669860363007,0.03744199426472186,0.08,True,0.0,321870.0,113993.0,True,0.4348487854003906,,,,,,
4,1,sync_diag,"[{'post': 2, 'pre': 87, 'score': 0.9449339509010315}, {'post': 2, 'pre': 75, 'score': 0.9449339509010315}, {'post': 2, 'pre': 284, 'score': 0.9449339509010315}, {'post': 2, 'pre': 115, 'score': 0.9449339509010315}, {'post': 2, 'pre': 52, 'score': 0.9449339509010315}, {'post': 2, 'pre': 281, 'score': 0.9449339509010315}, {'post': 2, 'pre': 238, 'score': 0.9449339509010315}, {'post': 2, 'pre': 338, 'score': 0.9449339509010315}, {'post': 2, 'pre': 157, 'score': 0.9449339509010315}, {'post': 2, 'pre': 247, 'score': 0.9449339509010315}, {'post': 2, 'pre': 209, 'score': 0.9449339509010315}, {'post': 2, 'pre': 6, 'score': 0.9449339509010315}, {'post': 2, 'pre': 313, 'score': 0.9449339509010315}, {'post': 2, 'pre': 86, 'score': 0.9449339509010315}, {'post': 2, 'pre': 331, 'score': 0.9449339509010315}, {'post': 2, 'pre': 267, 'score': 0.9449339509010315}, {'post': 2, 'pre': 351, 'score': 0.9449339509010315}, {'post': 2, 'pre': 266, 'score': 0.9449339509010315}, {'post': 2, 'pre': 118, 'score': 0.9449339509010315}, {'post': 2, 'pre': 3, 'score': 0.9449339509010315}]",0.13852964341640472,0.04755075917989014,0.08,True,0.0,437860.0,115990.0,True,0.44246673583984375,,,,,,
5,1,sync_diag,"[{'post': 3, 'pre': 76, 'score': 0.9449339509010315}, {'post': 3, 'pre': 48, 'score': 0.9449339509010315}, {'post': 3, 'pre': 270, 'score': 0.9449339509010315}, {'post': 3, 'pre': 441, 'score': 0.9449339509010315}, {'post': 3, 'pre': 184, 'score': 0.9449339509010315}, {'post': 3, 'pre': 308, 'score': 0.9449339509010315}, {'post': 3, 'pre': 134, 'score': 0.9449339509010315}, {'post': 5, 'pre': 53, 'score': 0.9449339509010315}, {'post': 3, 'pre': 193, 'score': 0.9449339509010315}, {'post': 5, 'pre': 33, 'score': 0.9449339509010315}, {'post': 3, 'pre': 384, 'score': 0.9449339509010315}, {'post': 3, 'pre': 166, 'score': 0.9449339509010315}, {'post': 3, 'pre': 452, 'score': 0.9449339509010315}, {'post': 3, 'pre': 101, 'score': 0.9449339509010315}, {'post': 5, 'pre': 52, 'score': 0.9449339509010315}, {'post': 3, 'pre': 218, 'score': 0.9449339509010315}, {'post': 5, 'pre': 111, 'score': 0.9449339509010315}, {'post': 5, 'pre': 60, 'score': 0.9449339509010315}, {'post': 5, 'pre': 11, 'score': 0.9449339509010315}, {'post': 3, 'pre': 183, 'score': 0.9449339509010315}]",0.13570517301559448,0.056366200563460575,0.08,True,0.0,547020.0,109160.0,True,0.416412353515625,,,,,,
6,1,sync_diag,"[{'post': 0, 'pre': 66, 'score': 0.9449339509010315}, {'post': 1, 'pre': 199, 'score': 0.9449339509010315}, {'post': 2, 'pre': 20, 'score': 0.9449339509010315}, {'post': 0, 'pre': 7, 'score': 0.9449339509010315}, {'post': 1, 'pre': 24, 'score': 0.9449339509010315}, {'post': 2, 'pre': 33, 'score': 0.9449339509010315}, {'post': 1, 'pre': 431, 'score': 0.9449339509010315}, {'post': 2, 'pre': 124, 'score': 0.9449339509010315}, {'post': 1, 'pre': 270, 'score': 0.9449339509010315}, {'post': 1, 'pre': 290, 'score': 0.9449339509010315}, {'post': 2, 'pre': 45, 'score': 0.9449339509010315}, {'post': 1, 'pre': 201, 'score': 0.9449339509010315}, {'post': 2, 'pre': 81, 'score': 0.9449339509010315}, {'post': 1, 'pre': 134, 'score': 0.9449339509010315}, {'post': 2, 'pre': 115, 'score': 0.9449339509010315}, {'post': 1, 'pre': 449, 'score': 0.9449339509010315}, {'post': 2, 'pre': 154, 'score': 0.9449339509010315}, {'post': 1, 'pre': 390, 'score': 0.9449339509010315}, {'post': 1, 'pre': 205, 'score': 0.9449339509010315}, {'post': 1, 'pre': 14, 'score': 0.9449339509010315}]",0.1391887068748474,0.06464845119459926,0.08,True,0.0,661886.0,114866.0,True,0.43817901611328125,,,,,,
7,1,sync_diag,"[{'post': 2, 'pre': 158, 'score': 0.9449339509010315}, {'post': 2, 'pre': 32, 'score': 0.9449339509010315}, {'post': 2, 'pre': 138, 'score': 0.9449339509010315}, {'post': 2, 'pre': 20, 'score': 0.9449339509010315}, {'post': 2, 'pre': 87, 'score': 0.9449339509010315}, {'post': 2, 'pre': 217, 'score': 0.9449339509010315}, {'post': 2, 'pre': 106, 'score': 0.9449339509010315}, {'post': 2, 'pre': 262, 'score': 0.9449339509010315}, {'post': 2, 'pre': 86, 'score': 0.9449339509010315}, {'post': 2, 'pre': 102, 'score': 0.9449339509010315}, {'post': 2, 'pre': 162, 'score': 0.9449339509010315}, {'post': 2, 'pre': 286, 'score': 0.9449339509010315}, {'post': 2, 'pre': 170, 'score': 0.9449339509010315}, {'post': 2, 'pre': 155, 'score': 0.9449339509010315}, {'post': 2, 'pre': 249, 'score': 0.9449339509010315}, {'post': 2, 'pre': 107, 'score': 0.9449339509010315}, {'post': 2, 'pre': 319, 'score': 0.9449339509010315}, {'post': 2, 'pre': 313, 'score': 0.9449339509010315}, {'post': 2, 'pre': 296, 'score': 0.9449339509010315}, {'post': 2, 'pre': 45, 'score': 0.9449339509010315}]",0.1377793550491333,0.07196154158005266,0.08,True,0.0,773937.0,112051.0,True,0.4274406433105469,,,,,,
8,1,sync_diag,"[{'post': 5, 'pre': 342, 'score': 0.9449339509010315}, {'post': 5, 'pre': 251, 'score': 0.9449339509010315}, {'post': 5, 'pre': 412, 'score': 0.9449339509010315}, {'post': 5, 'pre': 187, 'score': 0.9449339509010315}, {'post': 5, 'pre': 463, 'score': 0.9449339509010315}, {'post': 5, 'pre': 505, 'score': 0.9449339509010315}, {'post': 5, 'pre': 13, 'score': 0.9449339509010315}, {'post': 15, 'pre': 254, 'score': 0.9449339509010315}, {'post': 5, 'pre': 35, 'score': 0.9449339509010315}, {'post': 15, 'pre': 67, 'score': 0.9449339509010315}, {'post': 5, 'pre': 511, 'score': 0.9449339509010315}, {'post': 5, 'pre': 114, 'score': 0.9449339509010315}, {'post': 15, 'pre': 5, 'score': 0.9449339509010315}, {'post': 1, 'pre': 99, 'score': 0.9449339509010315}, {'post': 15, 'pre': 57, 'score': 0.9449339509010315}, {'post': 5, 'pre': 86, 'score': 0.9449339509010315}, {'post': 15, 'pre': 258, 'score': 0.9449339509010315}, {'post': 15, 'pre': 167, 'score': 0.9449339509010315}, {'post': 15, 'pre': 148, 'score': 0.9449339509010315}, {'post': 1, 'pre': 437, 'score': 0.9449339509010315}]",0.13607943058013916,0.07837333048006132,0.08,True,0.0,881313.0,107376.0,True,0.40960693359375,,,,,,
9,1,sync_diag,"[{'post': 3, 'pre': 176, 'score': 0.9449339509010315}, {'post': 3, 'pre': 121, 'score': 0.9449339509010315}, {'post': 3, 'pre': 485, 'score': 0.9449339509010315}, {'post': 3, 'pre': 305, 'score': 0.9449339509010315}, {'post': 3, 'pre': 48, 'score': 0.9449339509010315}, {'post': 15, 'pre': 48, 'score': 0.9449339509010315}, {'post': 3, 'pre': 18, 'score': 0.9449339509010315}, {'post': 15, 'pre': 148, 'score': 0.9449339509010315}, {'post': 3, 'pre': 40, 'score': 0.9449339509010315}, {'post': 3, 'pre': 402, 'score': 0.9449339509010315}, {'post': 3, 'pre': 345, 'score': 0.9449339509010315}, {'post': 3, 'pre': 57, 'score': 0.9449339509010315}, {'post': 15, 'pre': 57, 'score': 0.9449339509010315}, {'post': 3, 'pre': 148, 'score': 0.9449339509010315}, {'post': 15, 'pre': 121, 'score': 0.9449339509010315}, {'post': 3, 'pre': 355, 'score': 0.9449339509010315}, {'post': 15, 'pre': 305, 'score': 0.9449339509010315}, {'post': 15, 'pre': 176, 'score': 0.9449339509010315}, {'post': 15, 'pre': 40, 'score': 0.9449339509010315}, {'post': 15, 'pre': 18, 'score': 0.9449339509010315}]",0.14011238515377045,0.08454723594743223,0.08,True,0.0,981547.0,100234.0,True,0.38236236572265625,,,,,,
10,1,sync_diag,"[{'post': 3, 'pre': 56, 'score': 0.9449339509010315}, {'post': 3, 'pre': 67, 'score': 0.9449339509010315}, {'post': 7, 'pre': 86, 'score': 0.9449339509010315}, {'post': 3, 'pre': 24, 'score': 0.9449339509010315}, {'post': 3, 'pre': 327, 'score': 0.9449339509010315}, {'post': 7, 'pre': 124, 'score': 0.9449339509010315}, {'post': 3, 'pre': 417, 'score': 0.9449339509010315}, {'post': 7, 'pre': 291, 'score': 0.9449339509010315}, {'post': 3, 'pre': 260, 'score': 0.9449339509010315}, {'post': 3, 'pre': 345, 'score': 0.9449339509010315}, {'post': 7, 'pre': 53, 'score': 0.9449339509010315}, {'post': 3, 'pre': 101, 'score': 0.9449339509010315}, {'post': 7, 'pre': 178, 'score': 0.9449339509010315}, {'post': 7, 'pre': 81, 'score': 0.9449339509010315}, {'post': 7, 'pre': 192, 'score': 0.9449339509010315}, {'post': 3, 'pre': 442, 'score': 0.9449339509010315}, {'post': 7, 'pre': 294, 'score': 0.9449339509010315}, {'post': 7, 'pre': 108, 'score': 0.9449339509010315}, {'post': 3, 'pre': 212, 'score': 0.9449339509010315}, {'post': 3, 'pre': 78, 'score': 0.9449339509010315}]",0.1377105861902237,0.08986357097171137,0.08,True,0.0,1094128.0,112581.0,True,0.4294624328613281,,,,,,
