step,epoch,layer_sync,peak_tau,win_sum,strong_cnt,strong_ratio
1,1,0.13829948008060455,0.08,100268.0,100268.0,0.3824920654296875
2,1,0.1366785168647766,0.08,207877.0,107609.0,0.4104957580566406
3,1,0.13938669860363007,0.08,321870.0,113993.0,0.4348487854003906
4,1,0.13852964341640472,0.08,437860.0,115990.0,0.44246673583984375
5,1,0.13570517301559448,0.08,547020.0,109160.0,0.416412353515625
6,1,0.1391887068748474,0.08,661886.0,114866.0,0.43817901611328125
7,1,0.1377793550491333,0.08,773937.0,112051.0,0.4274406433105469
8,1,0.13607943058013916,0.08,881313.0,107376.0,0.40960693359375
9,1,0.14011238515377045,0.08,981547.0,100234.0,0.38236236572265625
10,1,0.1377105861902237,0.08,1094128.0,112581.0,0.4294624328613281
11,1,0.1357148438692093,0.08,1200073.0,105945.0,0.4041481018066406
12,1,0.140065535902977,0.08,1310868.0,110795.0,0.4226493835449219
13,1,0.13503938913345337,0.08,1422942.0,112074.0,0.42752838134765625
14,2,0.13753561675548553,0.08,1529868.0,106926.0,0.40789031982421875
15,2,0.13555194437503815,0.08,1640985.0,111117.0,0.4238777160644531
16,2,0.1383415013551712,0.08,1751465.0,110480.0,0.42144775390625
17,2,0.13990573585033417,0.08,1863630.0,112165.0,0.4278755187988281
18,2,0.13926346600055695,0.08,1971735.0,108105.0,0.4123878479003906
19,2,0.13701950013637543,0.08,2078071.0,106336.0,0.4056396484375
20,2,0.138816237449646,0.08,2181002.0,102931.0,0.3926506042480469
21,2,0.1362929344177246,0.08,2284547.0,103545.0,0.3949928283691406
22,2,0.13885816931724548,0.08,2393749.0,109202.0,0.41657257080078125
23,2,0.13899259269237518,0.08,2504241.0,110492.0,0.4214935302734375
24,2,0.138746440410614,0.08,2623777.0,119536.0,0.45599365234375
25,2,0.13745655119419098,0.08,2742001.0,118224.0,0.45098876953125
26,2,0.13468126952648163,0.08,2850557.0,108556.0,0.4141082763671875
27,3,0.13522668182849884,0.08,2959635.0,109078.0,0.41609954833984375
28,3,0.13977301120758057,0.08,3069166.0,109531.0,0.4178276062011719
29,3,0.13598841428756714,0.08,3173987.0,104821.0,0.3998603820800781
30,3,0.13493305444717407,0.08,3282214.0,108227.0,0.4128532409667969
31,3,0.13990060985088348,0.08,3390453.0,108239.0,0.4128990173339844
32,3,0.13784906268119812,0.08,3490441.0,99988.0,0.3814239501953125
33,3,0.1404404491186142,0.08,3608978.0,118537.0,0.4521827697753906
34,3,0.13994869589805603,0.08,3722359.0,113381.0,0.4325141906738281
35,3,0.14011603593826294,0.08,3823985.0,101626.0,0.38767242431640625
36,3,0.13594475388526917,0.08,3925798.0,101813.0,0.3883857727050781
37,3,0.1373383104801178,0.08,4025512.0,99714.0,0.38037872314453125
38,3,0.13772444427013397,0.08,4133643.0,108131.0,0.4124870300292969
39,3,0.1384361982345581,0.08,4237059.0,103416.0,0.394500732421875
40,4,0.13781005144119263,0.08,4354048.0,116989.0,0.4462776184082031
41,4,0.13826912641525269,0.08,4362631.0,108851.0,0.4152336120605469
42,4,0.1366146057844162,0.08,4369127.0,114105.0,0.4352760314941406
43,4,0.13679613173007965,0.08,4359835.0,104701.0,0.3994026184082031
44,4,0.13798172771930695,0.08,4351791.0,107946.0,0.41178131103515625
45,4,0.13952842354774475,0.08,4346784.0,104153.0,0.3973121643066406
46,4,0.1363566368818283,0.08,4333575.0,101657.0,0.3877906799316406
47,4,0.13968905806541443,0.08,4324715.0,103191.0,0.3936424255371094
48,4,0.1354057639837265,0.08,4325264.0,107925.0,0.4117012023925781
49,4,0.14106008410453796,0.08,4340963.0,115933.0,0.4422492980957031
63,5,0.14080098271369934,0.13994010388851166,4318229.0,103950.0,0.39653778076171875
65,5,0.14011317491531372,0.1400187999010086,4290810.0,100080.0,0.38177490234375
75,6,0.14214156568050385,0.1400187999010086,4288021.0,104312.0,0.397918701171875
83,7,0.13996224105358124,0.13995953202247619,4283121.0,103416.0,0.394500732421875
85,7,0.1413901001214981,0.14002421796321868,4303748.0,111470.0,0.42522430419921875
89,7,0.1405128389596939,0.1400749057531357,4323519.0,119705.0,0.4566383361816406
104,8,0.1400996446609497,0.14003454744815827,4329920.0,104129.0,0.3972206115722656
110,9,0.14133675396442413,0.14006894677877427,4358902.0,110640.0,0.42205810546875
117,9,0.14145639538764954,0.14007917940616607,4347227.0,107180.0,0.4088592529296875
129,10,0.14072753489017487,0.14007235765457154,4337715.0,114677.0,0.4374580383300781
130,10,0.1402934491634369,0.14010091871023178,4335487.0,102255.0,0.3900718688964844
137,11,0.14037632942199707,0.140104740858078,4343732.0,110144.0,0.420166015625
143,11,0.1428573876619339,0.1401098370552063,4332638.0,110973.0,0.4233283996582031
144,12,0.14011253416538239,0.1401124894618988,4336137.0,107628.0,0.4105682373046875
155,12,0.14143462479114532,0.1401124745607376,4321162.0,115191.0,0.4394187927246094
163,13,0.14195767045021057,0.14011250436306,4337110.0,116432.0,0.44415283203125
172,14,0.1408115178346634,0.1401125192642212,4324007.0,113607.0,0.4333763122558594
177,14,0.14118050038814545,0.1401127904653549,4324670.0,102931.0,0.3926506042480469
193,15,0.14121967554092407,0.14011250436306,4318989.0,115525.0,0.4406929016113281
206,16,0.14089229702949524,0.14011259824037553,4304503.0,102940.0,0.3926849365234375
209,17,0.14018501341342926,0.14011346101760863,4310621.0,103451.0,0.3946342468261719
214,17,0.14032408595085144,0.14012293368577958,4308546.0,113025.0,0.4311561584472656
217,17,0.14037568867206573,0.14019585698843,4322230.0,117142.0,0.44686126708984375
237,19,0.1403307169675827,0.14019585698843,4292720.0,109705.0,0.4184913635253906
247,19,0.14312686026096344,0.14029651284217834,4309825.0,110492.0,0.4214935302734375
260,20,0.1437903493642807,0.14029651284217834,4346609.0,110947.0,0.4232292175292969
261,21,0.14321455359458923,0.14032474905252457,4344931.0,105949.0,0.4041633605957031
